ExioName;ISIC0 Name;ISIC1 Name;ISIC2 Name ;ISIC3 Name;SASB Industry
Cultivation of paddy rice;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;"Growing of crops; market gardening; horticulture";Growing of cereals and other crops n.e.c. ;Agricultural Products
Cultivation of wheat;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;Growing of vegetables, horticultural specialties and nursery products;Agricultural Products
Cultivation of cereal grains nec;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;Growing of cereals and other crops n.e.c. ;Agricultural Products
Cultivation of vegetables, fruit, nuts;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;Growing of cereals and other crops n.e.c. ;Agricultural Products
Cultivation of oil seeds;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;Growing of cereals and other crops n.e.c. ;Agricultural Products
Cultivation of sugar cane, sugar beet;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;Growing of cereals and other crops n.e.c. ;Agricultural Products
Cultivation of plant-based fibers;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;Growing of cereals and other crops n.e.c. ;Agricultural Products
Cultivation of crops nec;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;Growing of cereals and other crops n.e.c. ;Agricultural Products
Cattle farming;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;;Agricultural Products
Pigs farming;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;;Agricultural Products
Poultry farming;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;;Agricultural Products
Meat animals nec;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;;Agricultural Products
Animal products nec;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;;Agricultural Products
Raw milk;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;;Agricultural Products
Wool, silk-worm cocoons;Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;;Agricultural Products
Manure treatment (conventional), storage and land application;Agriculture, hunting and forestry;;;;Agricultural Products
Manure treatment (biogas), storage and land application;Agriculture, hunting and forestry;Forestry, logging and related service activities;;;Agricultural Products
Forestry, logging and related service activities (02);Agriculture, hunting and forestry;Agriculture, hunting and related service activities;;;Agricultural Products
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)";Fishing ;Fishing, aquaculture and service activities incidental to fishing;;;Agricultural Products
"Mining of coal and lignite; extraction of peat (10)";Mining and quarrying ;"Mining of coal and lignite; extraction of peat";;;Coal Operations
Extraction of crude petroleum and services related to crude oil extraction, excluding surveying;Mining and quarrying ;"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying";;;Oil & Gas Ð Exploration & Production
Extraction of natural gas and services related to natural gas extraction, excluding surveying;Mining and quarrying ;"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying";;;Oil & Gas Ð Exploration & Production
Extraction, liquefaction, and regasification of other petroleum and gaseous materials;Mining and quarrying ;"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying";;;Oil & Gas Ð Exploration & Production
Mining of uranium and thorium ores (12);Mining and quarrying ;Mining of uranium and thorium ores;;;Metals & Mining
Mining of iron ores;Mining and quarrying ;Mining of metal ores;;;Metals & Mining
Mining of copper ores and concentrates;Mining and quarrying ;Mining of metal ores;;;Metals & Mining
Mining of nickel ores and concentrates;Mining and quarrying ;Mining of metal ores;;;Metals & Mining
Mining of aluminium ores and concentrates;Mining and quarrying ;Mining of metal ores;;;Metals & Mining
Mining of precious metal ores and concentrates;Mining and quarrying ;Mining of metal ores;;;Metals & Mining
Mining of lead, zinc and tin ores and concentrates;Mining and quarrying ;Mining of metal ores;;;Metals & Mining
Mining of other non-ferrous metal ores and concentrates;Mining and quarrying ;Mining of metal ores;;;Metals & Mining
Quarrying of stone;Mining and quarrying ;Other mining and quarrying;;;Metals & Mining
Quarrying of sand and clay;Mining and quarrying ;Other mining and quarrying;;;Metals & Mining
Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.;Mining and quarrying ;Other mining and quarrying;;;Metals & Mining
Processing of meat cattle;Manufacturing ;Other mining and quarrying;;;Metals & Mining
Processing of meat pigs;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Processing of meat poultry;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Production of meat products nec;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Processing vegetable oils and fats;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Processing of dairy products;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Processed rice;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Sugar refining;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Processing of Food products nec;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Manufacture of beverages;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Manufacture of fish products;Manufacturing ;Manufacture of food products and beverages;;;Processed Foods
Manufacture of tobacco products (16);Manufacturing ;Manufacture of tobacco products;;;Tobacco
Manufacture of textiles (17);Manufacturing ;Manufacture of textiles;;;Building Products & Furnishings
"Manufacture of wearing apparel; dressing and dyeing of fur (18)";Manufacturing ;"Manufacture of wearing apparel; dressing and dyeing of fur";;;Building Products & Furnishings
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)";Manufacturing ;"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness 
and footwear";;;Building Products & Furnishings
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)";Manufacturing ;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";;;Building Products & Furnishings
