checkin_type,delay_at_checkout_in_minutes
mobile,-81.0
connect,70.0
mobile,-203.0
connect,-15.0
mobile,-44.0
connect,23.0
mobile,214.0
mobile,15.0
connect,-81.0
mobile,-156.0
mobile,66.0
mobile,215.0
mobile,58.0
connect,-159.0
mobile,-16.0
mobile,-29.0
mobile,35.0
mobile,-26.0
mobile,22.0
mobile,-15.0
connect,52.0
mobile,-2.0
connect,-1.0
connect,-76.0
mobile,15.0
mobile,-68.0
mobile,130.0
mobile,29.0
mobile,-4.0
mobile,-160.0
mobile,-30.0
mobile,-47.0
connect,-63.0
mobile,-148.0
mobile,44.0
mobile,-98.0
mobile,-33.0
connect,-167.0
mobile,31.0
connect,-6.0
mobile,79.0
mobile,30.0
mobile,33.0
mobile,-52.0
mobile,44.0
mobile,-7.0
connect,-178.0
connect,37.0
mobile,24.0
mobile,40.0
mobile,137.0
mobile,23.0
connect,-108.0
mobile,-6.0
mobile,-150.0
mobile,9.0
mobile,68.0
connect,38.0
mobile,-1.0
mobile,74.0
mobile,-10.0
connect,-130.0
mobile,-12.0
mobile,-125.0
mobile,-96.0
mobile,205.0
mobile,18.0
mobile,48.0
mobile,36.0
mobile,-35.0
mobile,80.0
mobile,-24.0
mobile,-129.0
connect,2.0
mobile,-37.0
mobile,8.0
mobile,-155.0
mobile,134.0
mobile,-15.0
mobile,13.0
mobile,-120.0
mobile,85.0
mobile,-35.0
mobile,66.0
mobile,32.0
connect,41.0
mobile,3.0
mobile,216.0
mobile,28.0
mobile,-51.0
mobile,93.0
mobile,-196.0
mobile,9.0
mobile,-6.0
mobile,-18.0
mobile,-62.0
mobile,210.0
mobile,12.0
mobile,-24.0
mobile,-5.0
connect,90.0
mobile,-14.0
mobile,11.0
mobile,-7.0
mobile,146.0
mobile,-25.0
mobile,13.0
mobile,52.0
mobile,125.0
mobile,165.0
mobile,-25.0
mobile,83.0
mobile,69.0
mobile,156.0
mobile,12.0
mobile,50.0
mobile,-7.0
mobile,183.0
mobile,-170.0
mobile,-36.0
connect,-106.0
mobile,9.0
mobile,-21.0
mobile,64.0
mobile,23.0
mobile,14.0
mobile,5.0
mobile,-18.0
mobile,12.0
connect,48.0
connect,-9.0
mobile,-57.0
mobile,-53.0
connect,64.0
mobile,2.0
mobile,24.0
mobile,55.0
mobile,75.0
mobile,-44.0
connect,39.0
mobile,56.0
mobile,31.0
mobile,-23.0
mobile,233.0
connect,50.0
mobile,108.0
mobile,56.0
mobile,-2.0
connect,74.0
mobile,-31.0
mobile,7.0
connect,-98.0
mobile,93.0
mobile,20.0
mobile,20.0
mobile,69.0
mobile,-9.0
mobile,-80.0
mobile,-44.0
mobile,163.0
mobile,-2.0
mobile,10.0
mobile,-52.0
mobile,16.0
mobile,92.0
mobile,7.0
connect,-55.0
mobile,30.0
connect,84.0
connect,85.0
mobile,10.0
mobile,-113.0
connect,-5.0
mobile,1.0
mobile,145.0
connect,8.0
mobile,-8.0
mobile,74.0
mobile,126.0
mobile,15.0
mobile,-8.0
mobile,195.0
mobile,-133.0
mobile,-22.0
mobile,201.0
mobile,21.0
mobile,-40.0
mobile,225.0
mobile,-37.0
mobile,-12.0
mobile,-11.0
connect,-26.0
connect,-49.0
connect,22.0
mobile,144.0
mobile,69.0
mobile,19.0
mobile,10.0
mobile,-5.0
connect,-127.0
mobile,-158.0
connect,54.0
mobile,3.0
mobile,201.0
mobile,167.0
mobile,-136.0
mobile,-158.0
mobile,20.0
connect,-7.0
mobile,-15.0
mobile,-127.0
mobile,82.0
connect,37.0
mobile,0.0
connect,-41.0
connect,-25.0
mobile,40.0
connect,-22.0
mobile,211.0
mobile,97.0
connect,16.0
mobile,159.0
mobile,-7.0
connect,34.0
mobile,203.0
mobile,-193.0
mobile,11.0
mobile,91.0
mobile,23.0
connect,4.0
mobile,-28.0
connect,23.0
mobile,6.0
connect,-102.0
mobile,-232.0
connect,-22.0
mobile,31.0
mobile,63.0
mobile,10.0
connect,40.0
mobile,20.0
mobile,5.0
mobile,7.0
mobile,-1.0
mobile,24.0
mobile,170.0
connect,-20.0
mobile,-3.0
mobile,-36.0
connect,-29.0
mobile,1.0
connect,11.0
mobile,-148.0
mobile,37.0
connect,-37.0
mobile,-5.0
mobile,17.0
mobile,-72.0
mobile,161.0
mobile,146.0
connect,-95.0
mobile,19.0
mobile,-26.0
mobile,58.0
mobile,21.0
mobile,181.0
mobile,14.0
mobile,8.0
mobile,77.0
mobile,-12.0
mobile,59.0
mobile,98.0
mobile,23.0
mobile,14.0
mobile,7.0
mobile,-16.0
mobile,55.0
mobile,101.0
mobile,47.0
mobile,21.0
mobile,-85.0
mobile,15.0
mobile,122.0
mobile,67.0
mobile,-4.0
mobile,-25.0
connect,-40.0
connect,-4.0
mobile,173.0
mobile,20.0
mobile,72.0
mobile,3.0
mobile,102.0
connect,-126.0
mobile,-5.0
connect,27.0
mobile,2.0
mobile,89.0
connect,-16.0
mobile,18.0
mobile,44.0
mobile,21.0
mobile,-3.0
mobile,-78.0
mobile,52.0
mobile,-14.0
mobile,-41.0
mobile,84.0
mobile,-18.0
mobile,65.0
mobile,10.0
mobile,-14.0
mobile,-21.0
mobile,-40.0
mobile,-104.0
connect,-3.0
connect,173.0
connect,-54.0
connect,7.0
mobile,108.0
mobile,-38.0
mobile,-208.0
mobile,-35.0
mobile,73.0
connect,73.0
mobile,129.0
mobile,-30.0
mobile,15.0
mobile,30.0
mobile,-14.0
mobile,33.0
connect,-83.0
mobile,-16.0
connect,25.0
connect,27.0
mobile,-47.0
mobile,99.0
mobile,4.0
mobile,90.0
mobile,20.0
mobile,10.0
mobile,69.0
mobile,-20.0
mobile,1.0
connect,-167.0
mobile,136.0
mobile,62.0
mobile,-55.0
mobile,-100.0
mobile,-80.0
mobile,41.0
mobile,45.0
mobile,-43.0
connect,-155.0
mobile,-3.0
mobile,42.0
connect,-1.0
mobile,-10.0
mobile,15.0
mobile,7.0
mobile,181.0
mobile,14.0
mobile,7.0
mobile,-10.0
mobile,-52.0
mobile,-34.0
connect,162.0
mobile,-12.0
connect,-76.0
mobile,1.0
mobile,-20.0
mobile,-17.0
connect,-154.0
mobile,-53.0
mobile,-25.0
mobile,-15.0
connect,9.0
mobile,22.0
mobile,28.0
mobile,106.0
mobile,3.0
mobile,10.0
mobile,-169.0
mobile,-67.0
mobile,-101.0
mobile,14.0
mobile,-19.0
mobile,0.0
